,links
0,https://www.dr.dk/nyheder/regionale/nordjylland/sygeplejersker-tjekker-sygeplejersker-fejl-paa-plejehjem
1,https://www.dr.dk/nyheder/regionale/trekanten/unikt-initiativ-opsoegende-sygeplejersker-er-dedikeret-til-udsatte
2,https://www.dr.dk/nyheder/politik/socialdemokratiet-vil-saette-20-milliarder-skattekroner-i-klimafond
3,https://www.dr.dk/nyheder/regionale/oestjylland/tiltale-mod-24-aarig-aarhusianer-traenede-til-terror-i-somalia
4,https://www.dr.dk/nyheder/politik/kontanthjaelpsloftet-rammer-kvinder-haardest
5,/search?q=related:https://www.dr.dk/nyheder/politik/kontanthjaelpsloftet-rammer-kvinder-haardest&sa=X&ved=2ahUKEwiLgrCM9cj5AhXmQvEDHcyOBVYQH3oECAYQCQ
6,https://www.dr.dk/nyheder/regionale/syd/46-kilo-tung-sten-kvaestede-dansk-kvinde-ved-motorvejsbro-saadan-har-sagen
7,https://www.dr.dk/nyheder/nyt-forskningsprojekt-skal-vise-paalideligheden-af-lyntest?focusId=3141153
8,https://www.dr.dk/nyheder/politik/overblik-her-er-de-politiske-aftaler-der-skal-komme-ghettoer-til-livs
9,https://www.dr.dk/nyheder/indland/laeger-om-regeringens-forslag-bureaukratisk-og-dyr-loesning
10,https://www.dr.dk/nyheder/regionale/syd/ramte-dansk-kvinde-med-granitsten-fra-motorvejsbro-tyske-teenagere-faar-seks
22,https://www.dr.dk/nyheder/blaa-blok-aabner-opgoer-med-arveafgiften?focusId=4169502
23,https://www.dr.dk/nyheder/tema/ubaadssagen
24,https://www.dr.dk/nyheder/indland/mor-og-far-skal-give-lov-aldersgraensen-paa-sociale-medier-strammes-til
25,https://www.dr.dk/nyheder/politik/samtlige-partier-laver-ny-teleaftale-nu-skal-net-adgangen-i-yderomraaderne-styrkes
26,https://www.dr.dk/nyheder/blaa-blok-aabner-opgoer-med-arveafgiften?focusId=4286180
27,https://www.dr.dk/nyheder/politik/karen-ellemann-stopper-som-minister-loekke-vil-have-hende-som-gruppeformand
28,https://www.dr.dk/nyheder/tema/offentlig-overenskomst
29,https://www.dr.dk/nyheder/indland/universiteter-nar-mal-tid-de-studerende-kommer-hurtigere-igennem
30,https://www.dr.dk/nyheder/tema/ol-laege-domt-overgreb
31,https://www.dr.dk/nyheder/indland/jo-der-findes-stadigvaek-drengefag-og-pigefag
53,https://www.dr.dk/nyheder/penge/laerere-sygeplejersker-elektrikere-det-har-de-sagt-ja-til-i-ok18
54,https://www.dr.dk/nyheder/indland/fortravlede-sygehuse-faar-paabud-stigende-overbelaegning-og-mangel-paa
55,https://www.dr.dk/nyheder/indland/sygeplejersker-om-droppet-sparekrav-det-tog-kostbar-tid-fra-patienterne
56,https://www.dr.dk/nyheder/indland/skaerpet-fokus-kommende-sygeplejersker-skal-laere-haandtere-risikabel-medicin
57,https://www.dr.dk/nyheder/regionale/fyn/sygeplejersker-scanner-blaeren-og-tager-blodproever-i-hjemmet-saerlig-kuffert
58,https://www.dr.dk/nyheder/indland/ekspert-upopulaert-krav-til-sygehuse-lever-stadig-bare-i-forklaedning
60,https://www.dr.dk/nyheder/viden/nysgerrig/tema/loj-dine-foraeldre-da-de-sagde
61,https://www.dr.dk/nyheder/politik/sygehusene-gaar-fri-af-omstridt-sparekrav-til-naeste-aar
62,https://www.dr.dk/nyheder/politik/regionernes-oekonomi-paa-plads-sundhedsvaesenet-faar-en-milliard-og-farvel-til
94,https://www.dr.dk/nyheder/indland/sundhedsminister-indkaldt-til-samraad-om-hospitalstravlhed-igen-igen
95,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/et-halvt-aar-efter-kommunalvalget-21-politikere-har-soegt-om
96,https://www.dr.dk/nyheder/regionale/trekanten/landets-foerste-sygeplejerske-uddannes-i-alternativ-medicin-nu-kan-mette
97,https://www.dr.dk/nyheder/regionale/oestjylland/bent-hansen-rigtig-glaedeligt-med-suspendering-af-produktionskrav
98,https://www.dr.dk/nyheder/politik/massiv-kritik-af-produktivitetskrav-i-sundhedsaftale-preller-af-paa-regeringen
99,https://www.dr.dk/nyheder/tema/sundhedsplatformen
100,https://www.dr.dk/nyheder/boernepsykologer-under-sig-over-toejforbud-boern-bruger-toej-til-spejle-sig-i-omverden?focusId=3851708
101,https://www.dr.dk/nyheder/indland/laegeforeningen-skuffet-over-sundhedsaftale
102,https://www.dr.dk/nyheder/tema/tibet-sagen
103,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/tema/tibet-sagen&sa=X&ved=2ahUKEwi47Kyb9cj5AhXQ0KQKHfiuBKc4ChAfegQIDhAJ
104,https://www.dr.dk/nyheder/viden/teknologi/stephen-hawking-mindes-hans-stemme-sendes-ud-i-rummet-med-beskeden-om-fred
147,https://www.dr.dk/nyheder/indland/fagforening-overarbejde-svarer-til-550-sygeplejersker
148,https://www.dr.dk/nyheder/faerre-senge-mange-patienter-og-udsigt-til-langt-flere-patienter-skaber-bekymring?focusId=4126539
149,https://www.dr.dk/nyheder/faerre-senge-mange-patienter-og-udsigt-til-langt-flere-patienter-skaber-bekymring?focusId=3843004
