,links
0,https://www.dr.dk/nyheder/regionale/sjaelland/naesten-ingen-ledige-sygeplejersker
1,https://www.dr.dk/nyheder/penge/danske-sygeplejersker-faar-job-i-norge
2,https://www.dr.dk/nyheder/indland/dom-i-drabssag-fra-skodborg-i-dag
3,https://www.dr.dk/nyheder/regionale/nordjylland/socialminister-vi-kommer-til-laere-af-rebild-sagen
4,https://www.dr.dk/nyheder/regionale/sjaelland/hjaelp-syge-til-finde-vej-i-labyrinten
5,https://www.dr.dk/nyheder/regionale/trekanten/doede-af-legionaersyge
6,https://www.dr.dk/nyheder/regionale/sjaelland/regionsformand-jeg-har-ikke-noget-undskylde
7,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/v-politiker-demonstranter-er-klynkere
8,https://www.dr.dk/nyheder/penge/langtidsledigheden-er-eksploderet
9,https://www.dr.dk/nyheder/indland/butikker-med-duft-truer-dit-helbred
20,https://www.dr.dk/nyheder/regionale/oestjylland/bil-bragede-ind-i-hus
21,https://www.dr.dk/nyheder/regionale/noah-noah
22,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/05/04150451.htm?focusId=3511365
23,https://www.dr.dk/Nyheder/Temaer/2012/EU/2012/01/11/201927.htm?focusId=3776286
24,https://www.dr.dk/nyheder/politik/pia-k-om-breivikteater-jeg-har-kvalme
25,https://www.dr.dk/nyheder/temaer/2012/eu/2012/01/09/113508.htm?focusId=4071482
26,https://www.dr.dk/nyheder/temaer/2012/dronning/2012/01/15/15200219.htm?focusId=3573180
27,https://www.dr.dk/nyheder/kultur/mere-om-projektet
28,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/landsby-vil-have-koebenhavnere
29,https://www.dr.dk/nyheder/politik/regeringen-lyn-lukker-vaerdikommissionen
50,https://www.dr.dk/nyheder/temaer/2012/dronning/2012/01/15/15200219.htm?focusId=4286180
51,https://www.dr.dk/nyheder/regionale/nordjylland/droeftede-kraeftpatienters-ventetid
52,https://www.dr.dk/nyheder/regionale/fyn/lars-hoegh-stoerst-i-ob
53,https://www.dr.dk/nyheder/penge/rigsadvokat-opgiver-sag-om-datatyveri
54,https://www.dr.dk/nyheder/indland/faerre-og-faerre-offentligt-ansatte
55,https://www.dr.dk/nyheder/regionale/syd/tyve-paa-rov-i-padborgomraadet
56,https://www.dr.dk/nyheder/regionale/trekanten/koeretur-i-stjaalet-bil-stoppet-af-raekvaerk
57,https://www.dr.dk/nyheder/baggrund/2012/01/13130406.htm?focusId=4174958
58,https://www.dr.dk/nyheder/baggrund/2012/01/16103325.htm?focusId=4216832
59,https://www.dr.dk/nyheder/regionale/midtvest/foreningsnoerder-gaar-sammen-i-klitmoeller
90,https://www.dr.dk/nyheder/kultur/ghita-noerby-faar-svensk-scenedebut
91,https://www.dr.dk/Nyheder/Baggrund/2012/01/04092957.htm?focusId=3503484
92,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/14/215958.htm?focusId=3518694
93,https://www.dr.dk/nyheder/temaer/2012/eu/2012/01/09/113508.htm?focusId=3511015
94,https://www.dr.dk/nyheder/politik/betalingsring-saadan-vil-togene-koere
95,https://www.dr.dk/nyheder/tusinder-sang-og-vinkede-til-dronningen
96,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/13/133508.htm?focusId=4071545
97,https://www.dr.dk/nyheder/regionale/oestjylland/svend-thorhauge
98,https://www.dr.dk/nyheder/regionale/oestjylland/horsens-siger-nej-til-robotstoevsugere
99,https://www.dr.dk/nyheder/politik/samuelsen-vil-forhindre-dansk-eu-garanti
140,https://www.dr.dk/nyheder/regionale/nordjylland/flere-flygtninge-til-broenderslev
141,https://www.dr.dk/nyheder/regionale/nordjylland/politisk-aktion-efter-hospitalsdoed
142,https://www.dr.dk/nyheder/politik/mere-samfundstjeneste-paa-vej
143,https://www.dr.dk/Nyheder/Billedserier/2012/01/30163745.htm?focusId=4174872
144,https://www.dr.dk/nyheder/regionale/trekanten/lillebaelt-halvmarathon-aarets-loeb-2011
145,https://www.dr.dk/nyheder/regionale/trekanten/henter-kommunaldirektoer-hos-naboen
146,https://www.dr.dk/nyheder/regionale/oestjylland/randers-fc-giver-kasper-lorentzen-loebepas
147,https://www.dr.dk/nyheder/billedserier/2012/01/09135159.htm?focusId=3874991
