,links
0,https://www.dr.dk/nyheder/regionale/fyn/sygeplejersker-siger-stop-vores-fleksibilitet-bliver-brugt-og-udnyttet
1,https://www.dr.dk/nyheder/nyt-forskningsprojekt-skal-vise-paalideligheden-af-lyntest?focusId=4072318
2,https://www.dr.dk/nyheder/kultur/tak-alt-det-som-i-goer-hypet-kunstner-hylder-sygeplejersker-som-vor-tids-superhelte
3,https://www.dr.dk/nyheder/indland/nye-detaljer-om-bandeleders-flugt-kom-ikke-naermere-ellers-skyder-jeg
4,https://www.dr.dk/nyheder/politik/overblik-de-vigtigste-budskaber-fra-1-maj-talerne
5,https://www.dr.dk/nyheder/trepartsaftale-fordeler-54-milliarder-til-flere-laerepladser
6,https://www.dr.dk/nyheder/udland/boris-johnson-drak-vin-med-18-andre-mens-briterne-kun-maatte-moedes-personer
7,https://www.dr.dk/nyheder/kultur/tema/corona-og-kunst
8,https://www.dr.dk/nyheder/indland/overblik-milliarder-til-boern-og-velfaerd-i-finansloven-her-skal-pengene-komme-fra
9,https://www.dr.dk/nyheder/politik/rasmus-nordqvist-melder-sig-ind-i-sf-jeg-har-mere-byde-paa
20,https://www.dr.dk/nyheder/kultur/historie/tema/graenseland-genforeningen-100-ar
21,https://www.dr.dk/nyheder/indland/rift-om-studiepladserne-til-sommer-politikere-opfordrer-til-flere-studiepladser-og
22,https://www.dr.dk/nyheder/tema/2014/folkemode2014/111625399.htm?focusId=3539039
23,https://www.dr.dk/nyheder/din-mening-hvordan-undgaar-du-blive-flaaet-af-benzinpriserne
24,https://www.dr.dk/nyheder/din-mening-kan-du-heller-ikke-undvaere-din-bror-eller-soester
25,https://www.dr.dk/nyheder/service/2007/04/24082944.htm?focusId=4275947
26,https://www.dr.dk/nyheder/politik/foeringen-er-sat-over-styr-i-ny-maaling-blaa-blok-har-indhentet-roed-blok
27,https://www.dr.dk/Nyheder/Temaer/2010/Aaret_der_gik/02111940.htm?focusId=4275947
28,https://www.dr.dk/nyheder/indland/2006/10/26/150649.htm?focusId=2981777
29,https://www.dr.dk/nyheder/apple-tager-til-genmaele-i-eu-tvist-om-muligt-misbrug-af-dominerende-markedsposition?focusId=4174585
50,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/mangler-laeger-og-sygeplejersker-situationen-hos-akuttelefonen
51,https://www.dr.dk/nyheder/regionale/sjaelland/sygeplejersker-stroemmer-til-samtalegrupper-stressramte
52,/search?q=related:https://www.dr.dk/nyheder/regionale/sjaelland/sygeplejersker-stroemmer-til-samtalegrupper-stressramte&sa=X&ved=2ahUKEwj737eb_cj5AhXjQPEDHaN-BFYQH3oECAcQCQ
53,https://www.dr.dk/nyheder/regionale/trekanten/ida-er-uddannet-som-sygeplejerske-under-coronakrisen-jeg-er-blevet-godt
54,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/ny-undersoegelse-du-kan-vaere-tryg-ved-faa-en-sygeplejerske-i
55,https://www.dr.dk/nyheder/tema/det-perfekte-offer
56,https://www.dr.dk/nyheder/festivaler-faar-hjaelpepakke-musikerne-ender-med-overrevne-kontrakter
57,https://www.dr.dk/nyheder/politik/politiet-indstiller-efterforskning-i-sag-om-britt-bagers-partistotte
58,https://www.dr.dk/nyheder/regionale/midtvest/embedsmand-tiltalt-bedrageri-plaeneklipper-tv-og-grill-paa-kommunens
59,https://www.dr.dk/nyheder/penge/mandag-faar-1700-en-fyreseddel-af-sas-det-er-en-utrolig-ulykkelig-situation
60,https://www.dr.dk/nyheder/indland/28-aarige-james-schmidt-idoemmes-livstid-rovmord-paa-oesterbro
92,https://www.dr.dk/nyheder/indland/de-forste-ti-sager-om-corona-arbejdsskader-er-anerkendt
93,https://www.dr.dk/nyheder/tema/maend-der-odelaegger-kvinder
94,https://www.dr.dk/nyheder/politik/myndighed-advarede-minister-mod-tillade-studenterkoersel
95,https://www.dr.dk/nyheder/udland/jordskaelv-udloser-tsunamivarsel-mexico-og-mellemamerika
96,https://www.dr.dk/nyheder/indland/betjente-ramt-af-kasteskyts-efter-skyderi-i-aarhus
97,https://www.dr.dk/nyheder/indland/tema/pensionsselskaber-overvaager-kunder
98,https://www.dr.dk/nyheder/indland/partier-vil-bekaempe-udsving-i-medicinpriser
99,https://www.dr.dk/nyheder/tema/usa-uroligheder
101,https://www.dr.dk/nyheder/politik/uffe-elbaek-var-bange-fock-og-sagde-ikke-fra
143,https://www.dr.dk/nyheder/nu-lover-kulturministeren-oekonomisk-hjaelp-til-kulturlivet?focusId=2781936
144,https://www.dr.dk/nyheder/indland/coronakrisen-praeger-uddannelsesvalg-26-aarige-kasper-dropper-turen-med-den
146,https://www.dr.dk/nyheder/penge/blackstone-loefter-lidt-af-sloeret-pengene-er-primaert-fra-sygeplejersker-brandmaend
147,https://www.dr.dk/nyheder/indland/politikreds-oplevede-problemer-med-114-nu-virker-det-igen
148,https://www.dr.dk/nyheder/kultur/tema/emmy-awards-2020
149,https://www.dr.dk/nyheder/tema/dyre-lejligheder
151,https://www.dr.dk/nyheder/tema/din-natur-oplev-den-danske-natur-hver-uge
152,https://www.dr.dk/nyheder/viden/klima/frankrig-forbyder-varmelamper-pa-barer-skal-hjaelpe-klimaet
